task,gt_rows,pred_rows,joined_rows,join_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,correctness,completeness,output_yield,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
task13_g252p2im,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,10,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,45484.0,4.0,49.09534502029419,,,,,,,,
task15_q47yprng,16111,16111,16111,1.0,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,12204.0,3.0,16.597731828689575,,,,,,,,
task17_ric4nqdk,16111,16111,16111,1.0,3,3,3,0,3,0,0,1.0,3,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,34320.0,6.0,57.781336069107056,,,,,,,,
task3_z1_6avlj,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,12943.0,3.0,14.393694162368774,,,,,,,,
task7_zlvfb_0v,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,5,0,0,1.0,1.0,1.0,,,0.9959779032958848,0.7012698412698413,100.0,True,67381.0,4.0,87.21228814125061,,,,,,,,
task10_agqgzwza,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,8,0,0,1.0,1.0,1.0,,,0.9985180932282292,0.984375,100.0,True,21304.0,3.0,30.419158220291138,,,,,,,,
task2_lnbu2c9q,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,15721.0,3.0,17.358468055725098,,,,,,,,
task1_vighjlmh,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,15212.0,3.0,21.110589027404785,,,,,,,,
task14__xop7p2l,16111,16111,16111,1.0,16,16,16,0,16,0,0,1.0,16,0,0,1.0,1.0,1.0,,,0.9988555955558314,0.9375,100.0,True,23139.0,3.0,58.835230112075806,,,,,,,,
task11_okccpqsn,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,8,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,14868.0,3.0,20.996931076049805,,,,,,,,
task6_jz_466s0,16111,15930,15930,0.9887654397616535,7,7,7,0,7,0,0,1.0,7,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,45420.0,5.0,55.49940609931946,,,,,,,,
task4_k2m3g3_1,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,14312.0,3.0,24.695425033569336,,,,,,,,
task5_jgvsb_fs,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,5,0,0,1.0,1.0,1.0,,,0.9988455092793742,1.0,100.0,True,16020.0,3.0,22.13618516921997,,,,,,,,
task19_1popndw4,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,1.0,,,100.0,True,18320.0,4.0,16.607097864151,,,,,,,,
task8_mqgqpdb2,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,0,4,0,0.0,1.0,0.0,,,0.7017720811867668,0.2706043956043956,0.0,False,40985.0,3.0,116.02289485931396,,,,,,,,
task16_08blb23l,16111,16111,16111,1.0,6,6,6,2,4,0,0,1.0,6,0,0,1.0,1.0,1.0,0.0,1.0,0.9998603438644404,1.0,100.0,True,31049.0,4.0,34.71131610870361,,,,,,,,
task12_t6sttah3,16111,16111,16111,1.0,6,6,6,0,6,0,0,1.0,5,1,0,0.8333333333333334,1.0,0.8333333333333334,,,0.950458279022614,0.8529411764705882,83.33333333333334,False,122172.0,7.0,118.06771683692932,,,,,,,,
task20_lnfcj46_,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,40262.0,4.0,78.48713493347168,,,,,,,,
task9_k2cez11n,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,40467.0,4.0,45.70621705055237,,,,,,,,
task18_7n83j1qm,16111,16111,16111,1.0,8,8,8,4,4,0,0,1.0,8,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,True,32523.0,3.0,45.252957820892334,,,,,,,,
AGGREGATE,322220,322039,322039,0.9994382719880827,102,102,102,8,94,0,0,1.0,97,5,0,0.9509803921568627,1.0,0.9509803921568627,0.0,1.0,0.9835450075737866,0.9317171685913863,,,,,,94.16666666666666,18.0,664106.0,33205.3,75.0,3.75,930.9871234893799,46.549356174469
