task,gt_rows,pred_rows,joined_rows,join_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,correctness,completeness,output_yield,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
task17_rksmhm57,16111,16111,16111,1.0,3,3,3,0,3,0,0,1.0,3,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,29650.0,6.0,39.069140911102295,,,,,,,,
task8_5z43cfyk,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,0.982465396313078,0.8035714285714286,100.0,True,284934.0,10.0,213.7143530845642,,,,,,,,
task10_o37gxux4,16111,13224,13224,0.8208056607286947,8,8,8,0,8,0,0,1.0,8,0,0,1.0,1.0,1.0,,,0.9977313974591652,1.0,100.0,True,111806.0,7.0,2671.637553691864,,,,,,,,
task6_edxzxytj,16111,16111,16111,1.0,7,7,7,0,7,0,0,1.0,7,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,427892.0,10.0,82.19858980178833,,,,,,,,
task4_gvbfqelu,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,33486.0,6.0,37.12849426269531,,,,,,,,
task19_o7tgp5h4,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,1.0,,,100.0,True,21223.0,4.0,23.32504105567932,,,,,,,,
task13_j61ppl0r,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,10,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,49138.0,5.0,30.82757806777954,,,,,,,,
task2_p85waucj,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9986965427347775,0.8947368421052632,100.0,True,82498.0,10.0,58.778709173202515,,,,,,,,
task7_rwn6dimj,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,3,2,0,0.6,1.0,0.6,,,0.8623673266712185,0.6438095238095238,60.0,False,163369.0,7.0,207.8017339706421,,,,,,,,
task5_44fosd6h,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,5,0,0,1.0,1.0,1.0,,,0.9999875861212836,1.0,100.0,True,28903.0,4.0,114.73260188102722,,,,,,,,
task15_hrtkp6ho,16111,16111,16111,1.0,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,77959.0,13.0,40.09381079673767,,,,,,,,
task12_ezoo5xgm,16111,16111,16111,1.0,6,6,6,0,6,0,0,1.0,5,1,0,0.8333333333333334,1.0,0.8333333333333334,,,0.9329340202346224,0.8431372549019608,83.33333333333334,False,416212.0,22.0,205.17079091072083,,,,,,,,
task9_7jq25v4n,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,35946.0,5.0,328.31644225120544,,,,,,,,
task18_rea_b9r4,16111,16111,16111,1.0,8,8,8,2,6,0,0,1.0,6,2,0,0.75,1.0,0.75,0.0,1.0,0.8103055883144021,0.6842105263157895,75.0,False,127899.0,9.0,613.697927236557,,,,,,,,
task11_yu1ess5c,16111,16111,16111,1.0,8,8,6,0,6,2,2,0.75,6,0,2,1.0,0.75,0.75,,,1.0,1.0,75.0,False,159448.0,14.0,102.02150797843933,,,,,,,,
task20_kzt_htjw,16111,16112,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,142760.0,10.0,1072.0359761714935,,,,,,,,
task16_7x8ud_aw,16111,16111,16111,1.0,6,6,6,2,4,0,0,1.0,4,2,0,0.6666666666666666,1.0,0.6666666666666666,0.0,1.0,0.7744863757681087,0.5313725490196078,66.66666666666666,False,80631.0,9.0,80.3219530582428,,,,,,,,
task3_51zsw2j2,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.989758550058966,0.8333333333333334,100.0,True,169931.0,15.0,133.1279628276825,,,,,,,,
task1_ea2_5d3y,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,56394.0,7.0,51.39539122581482,,,,,,,,
task14_0646v1zc,16111,16111,16111,1.0,16,16,16,0,16,0,0,1.0,13,3,0,0.8125,1.0,0.8125,,,0.9786869219787723,0.8359375,81.25,False,64471.0,7.0,1032.3739387989044,,,,,,,,
AGGREGATE,322220,319334,319333,0.9910402830364348,102,102,100,6,94,2,2,0.9803921568627451,90,10,2,0.9,0.9803921568627451,0.8823529411764706,0.0,1.0,0.9620033651883918,0.8917657488527326,,,,,,92.06250000000001,14.0,2564550.0,128227.5,180.0,9.0,7137.769497156143,356.8884748578072
