task,gt_rows,pred_rows,joined_rows,join_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,correctness,completeness,output_yield,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
task16_vehnh9jf,16111,16111,16111,1.0,6,6,4,2,2,2,2,0.6666666666666666,2,2,2,0.5,0.6666666666666666,0.3333333333333333,0.0,1.0,0.9830550555521071,0.9099264705882353,33.33333333333333,False,11842.0,3.0,56.224032163619995,,,,,,,,
task20_084jsr6o,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.7343429954689342,0.7,0.0,False,18556.0,3.0,27.735408306121826,,,,,,,,
task2_5pe1xqpn,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.9986965427347775,1.0,0.0,False,12412.0,3.0,26.928898096084595,,,,,,,,
task6_goqxa2xs,16111,16111,16111,1.0,7,7,7,0,7,0,0,1.0,6,1,0,0.8571428571428571,1.0,0.8571428571428571,,,0.9991842308272076,0.9285714285714286,85.71428571428571,False,14405.0,3.0,178.95190811157227,,,,,,,,
task11_upchllk9,16111,16111,16111,1.0,8,8,6,0,6,2,2,0.75,0,6,2,0.0,0.75,0.0,,,0.8892682018496679,0.8186507936507935,0.0,False,13607.0,3.0,14.142768859863281,,,,,,,,
task7_56895rni,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,0,5,0,0.0,1.0,0.0,,,0.680441934082304,0.36238095238095236,0.0,False,84787.0,4.0,117.70752930641174,,,,,,,,
task12_vmmjflui,16111,16111,16111,1.0,6,6,6,0,6,0,0,1.0,2,4,0,0.3333333333333333,1.0,0.3333333333333333,,,0.9204994517203566,0.7939814814814814,33.33333333333333,False,53879.0,5.0,91.07306694984436,,,,,,,,
task4_pe1ilo4g,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,2,2,0,0.5,1.0,0.5,,,0.9993172366705977,0.9375,50.0,False,26393.0,4.0,49.62839412689209,,,,,,,,
task5_9e99cvio,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,3,2,0,0.6,1.0,0.6,,,0.9986593010986283,0.8531468531468531,60.0,False,13759.0,3.0,20.207097053527832,,,,,,,,
task9_acnw4q4z,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,0,4,0,0.0,1.0,0.0,,,0.6459096269629445,0.592885375494071,0.0,False,26878.0,4.0,52.22773098945618,,,,,,,,
task18_qvy5o_z2,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,2,6,0,0.25,1.0,0.25,,,0.6894590652349326,0.48340874811463047,25.0,False,51165.0,4.0,82.43006587028503,,,,,,,,
task14_h5wd955x,16111,16111,16111,1.0,16,14,14,0,14,2,0,0.875,2,12,2,0.14285714285714285,0.875,0.125,,,0.9002899527385902,0.6887041529898673,12.5,False,23379.0,3.0,32.94884204864502,,,,,,,,
task15_oa3dv130,16111,16111,16111,1.0,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,11062.0,3.0,17.72718381881714,,,,,,,,
task17_5_4oy_wz,16111,14105,14105,0.8754887964744584,3,3,3,0,3,0,0,1.0,3,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,271898.0,10.0,66.929682970047,,,,,,,,
task13_oymki49j,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,0,10,0,0.0,1.0,0.0,,,0.7561728011917324,0.894322548796233,0.0,False,24994.0,3.0,28.14509892463684,,,,,,,,
task10_wan51cho,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,2,6,0,0.25,1.0,0.25,,,0.8659921792564087,0.55,25.0,False,114654.0,5.0,107.09921884536743,,,,,,,,
task8_nwkg172c,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,0,4,0,0.0,1.0,0.0,,,0.7780708832474706,0.6020250582750583,0.0,False,31372.0,3.0,82.05180883407593,,,,,,,,
task3_417zevh8,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.9986965427347775,0.625,0.0,False,10992.0,3.0,46.35306692123413,,,,,,,,
task1_6sv3igeu,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.9947241015455279,1.0,0.0,False,25067.0,4.0,79.94114995002747,,,,,,,,
task19_mdutgbii,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,1.0,,,100.0,True,9177.0,3.0,12.107785940170288,,,,,,,,
AGGREGATE,322220,320214,320214,0.9937744398237229,102,100,96,4,92,6,4,0.9411764705882353,28,68,6,0.2916666666666667,0.9411764705882353,0.27450980392156865,0.0,1.0,0.8613430467436506,0.7367421844502521,,,,,,31.244047619047613,3.0,850278.0,42513.9,76.0,3.8,1190.5607380867004,59.528036904335025
