task,gt_rows,pred_rows,joined_rows,join_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,correctness,completeness,output_yield,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
task6_ka38esw1,16111,16111,16111,1.0,7,7,7,0,7,0,0,1.0,7,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,180439.0,6.0,241.8829002380371,,,,,,,,
task10_ekip74bm,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,6,2,0,0.75,1.0,0.75,,,0.9199925516727702,0.9464285714285714,75.0,False,225188.0,12.0,683.7484786510468,,,,,,,,
task18_o7hpbcyk,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,4,4,0,0.5,1.0,0.5,,,0.7318990130966421,0.5306122448979592,50.0,False,60180.0,4.0,403.4571442604065,,,,,,,,
task1_werc83mu,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,46747.0,5.0,223.78642535209656,,,,,,,,
task3_45y8de1d,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,43352.0,6.0,106.93308734893799,,,,,,,,
task12_4jj2nd6l,16111,13224,13224,0.8208056607286947,6,6,6,0,6,0,0,1.0,0,6,0,0.0,1.0,0.0,,,0.6119807420850978,0.12933006535947714,0.0,False,21185.0,3.0,96.23765897750854,,,,,,,,
task19_52bf0k9h,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,1.0,,,100.0,True,22403.0,5.0,64.88506817817688,,,,,,,,
task17__q_jxuz9,16111,16111,16111,1.0,3,3,3,0,3,0,0,1.0,3,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,114855.0,6.0,167.19504189491272,,,,,,,,
task5_amzww_5p,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,5,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,92981.0,5.0,157.6740403175354,,,,,,,,
task4_0zhlgzca,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,73466.0,7.0,343.5670075416565,,,,,,,,
task2_jmk742kt,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,359922.0,15.0,586.551765203476,,,,,,,,
task13_ih3746qy,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,10,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,206911.0,11.0,475.6649558544159,,,,,,,,
task11_ma6zy3pc,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,8,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,48559.0,6.0,88.91242504119873,,,,,,,,
task14_vhbpux0x,16111,16111,16111,1.0,16,16,16,0,16,0,0,1.0,10,6,0,0.625,1.0,0.625,,,0.9485677487430948,0.8510146103896103,62.5,False,69328.0,5.0,255.20137190818787,,,,,,,,
task20_mrlhecgn,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,20372.0,3.0,104.14225506782532,,,,,,,,
task9_88l_aynj,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,42032.0,5.0,169.55716633796692,,,,,,,,
task15_xzqfope0,16111,16111,16111,1.0,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,12949.0,3.0,36.78042459487915,,,,,,,,
task7_ekqeag_q,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,5,0,0,1.0,1.0,1.0,,,0.9904288995096518,0.6561904761904762,100.0,True,311231.0,8.0,614.3817744255066,,,,,,,,
task16_d4clmfux,16111,16111,16111,1.0,6,6,6,2,4,0,0,1.0,6,0,0,1.0,1.0,1.0,0.0,1.0,0.9991465458382471,1.0,100.0,True,26938.0,4.0,88.62027359008789,,,,,,,,
task8_87i5c6s7,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,2,2,0,0.5,1.0,0.5,,,0.8326764322512569,0.5520833333333334,50.0,False,399406.0,11.0,1024.5351684093475,,,,,,,,
AGGREGATE,322220,319333,319333,0.9910402830364348,102,102,102,4,98,0,0,1.0,82,20,0,0.803921568627451,1.0,0.803921568627451,0.0,1.0,0.9320769118414457,0.8438553714621284,,,,,,86.875,15.0,2378444.0,118922.2,130.0,6.5,5933.714433193207,296.6857216596603
