task,gt_rows,pred_rows,joined_rows,join_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,correctness,completeness,output_yield,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
task19_q4yk1s1k,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,1.0,,,100.0,True,9747.0,3.0,17.5818932056427,,,,,,,,
task20_b5eol0ke,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9927999503444851,1.0,100.0,True,43938.0,4.0,123.62461304664612,,,,,,,,
task14_2istqbk_,16111,16111,16111,1.0,16,16,16,0,16,0,0,1.0,10,6,0,0.625,1.0,0.625,,,0.9506819874619825,0.8318452380952381,62.5,False,23099.0,3.0,34.67408585548401,,,,,,,,
task9_7xjzynwj,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,3,1,0,0.75,1.0,0.75,,,0.971246353423127,0.8345833333333333,75.0,False,69514.0,8.0,127.54591703414917,,,,,,,,
task8_t362fflz,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,0,4,0,0.0,1.0,0.0,,,0.6296629631928496,0.17291666666666666,0.0,False,38549.0,3.0,173.14640998840332,,,,,,,,
task13_3x41q5jn,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,3,7,0,0.3,1.0,0.3,,,0.7350567934951275,0.8808813700918965,30.0,False,23190.0,3.0,15.588797092437744,,,,,,,,
task7_xtdi19vi,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,5,0,0,1.0,1.0,1.0,,,0.9862454223822233,0.6336796536796536,100.0,True,40277.0,3.0,91.83872103691101,,,,,,,,
task16_d6qds6nj,16111,16111,16111,1.0,6,6,6,2,4,0,0,1.0,4,2,0,0.6666666666666666,1.0,0.6666666666666666,0.42216574441201454,0.9999996006677387,0.9704704860033517,0.9326625386996904,66.66666666666666,False,12858.0,3.0,1294.5536460876465,,,,,,,,
task18_g30namh5,16111,14586,14586,0.9053441747874124,8,8,8,4,4,0,0,1.0,7,1,0,0.875,1.0,0.875,0.0,1.0,0.9724393253805019,0.9150326797385621,87.5,False,55177.0,4.0,88.44985771179199,,,,,,,,
task6_9_x1te7t,16111,16111,16111,1.0,7,7,7,0,7,0,0,1.0,7,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,14752.0,3.0,24.334501028060913,,,,,,,,
task5_es6k1ono,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,5,0,0,1.0,1.0,1.0,,,0.9986593010986283,0.9555555555555555,100.0,True,30672.0,4.0,154.35509610176086,,,,,,,,
task17_q1l7gyy2,16111,16111,16111,1.0,3,3,3,0,3,0,0,1.0,3,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,1215287.0,22.0,243.6882197856903,,,,,,,,
task2_ehv_0fp8,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9996896530320899,0.85,100.0,True,12320.0,3.0,17.731428146362305,,,,,,,,
task1_gcrkkz8l,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9947241015455279,1.0,100.0,True,14530.0,3.0,41.78910994529724,,,,,,,,
task10_913kao2q,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,8,0,0,1.0,1.0,1.0,,,0.9980758487989572,1.0,100.0,True,18736.0,3.0,51.49278903007507,,,,,,,,
task15__98dv26o,16111,16111,16111,1.0,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,18546.0,4.0,31.284708976745605,,,,,,,,
task11_g1728j7c,16111,16111,16111,1.0,8,8,6,0,6,2,2,0.75,4,2,2,0.6666666666666666,0.75,0.5,,,0.8912233877475018,0.8796703296703297,50.0,False,12957.0,3.0,33.218438148498535,,,,,,,,
task12_6k89fift,16111,16111,16111,1.0,6,6,6,0,6,0,0,1.0,5,1,0,0.8333333333333334,1.0,0.8333333333333334,,,0.9225063621128422,0.8327886710239651,83.33333333333334,False,35442.0,4.0,92.9767370223999,,,,,,,,
task4_vai1xhjx,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,0.9921792564086649,0.8625,100.0,True,11390.0,3.0,27.299673795700073,,,,,,,,
task3_6kupok5x,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9986965427347775,0.625,100.0,True,10216.0,3.0,16.124566793441772,,,,,,,,
AGGREGATE,322220,320695,320695,0.9952672087393706,102,102,100,8,92,2,2,0.9803921568627451,76,24,2,0.76,0.9803921568627451,0.7450980392156863,0.10554143610300364,0.9999999001669346,0.9291618742020852,0.8552722655928001,,,,,,82.74999999999999,12.0,1711197.0,85559.85,89.0,4.45,2701.299209833145,135.06496049165725
