task,gt_rows,pred_rows,joined_rows,join_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,correctness,completeness,output_yield,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
task17_i12oshyw,16111,14105,14105,0.8754887964744584,3,3,3,0,3,0,0,1.0,2,1,0,0.6666666666666666,1.0,0.6666666666666666,,,0.8279806215290085,0.6944444444444445,66.66666666666666,False,30380.0,5.0,71.56288599967957,,,,,,,,
task11_v9vvb9p1,16111,16111,16111,1.0,8,8,6,0,6,2,2,0.75,4,2,2,0.6666666666666666,0.75,0.5,,,0.8485403347609294,0.8557692307692308,50.0,False,300509.0,14.0,258.729629278183,,,,,,,,
task2_1ilxdu5k,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9768481161939048,0.8947368421052632,100.0,True,28342.0,4.0,47.89628219604492,,,,,,,,
task15_af4a_a_s,16111,16111,16111,1.0,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,22735.0,4.0,43.00718903541565,,,,,,,,
task7_oqci23bu,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,3,2,0,0.6,1.0,0.6,,,0.8376761219042891,0.6223376623376623,60.0,False,120341.0,5.0,145.27787113189697,,,,,,,,
task16_npff6kt1,16111,16111,16111,1.0,6,6,6,2,4,0,0,1.0,4,2,0,0.6666666666666666,1.0,0.6666666666666666,0.21914133160073182,0.9999999102328209,0.8986406802805537,0.9131944444444444,66.66666666666666,False,37079.0,4.0,70.57347130775452,,,,,,,,
task20_6gr9sh3m,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.7677983986096456,0.9,0.0,False,400917.0,14.0,2500.8806669712067,,,,,,,,
task14_hd0yvzb7,16111,16111,16111,1.0,16,16,16,0,16,0,0,1.0,10,6,0,0.625,1.0,0.625,,,0.9303232263670784,0.7660932817182817,62.5,False,244382.0,9.0,321.71701884269714,,,,,,,,
task5_gh6r8u49,16111,11962,11962,0.7424740860281795,5,5,5,0,5,0,0,1.0,4,1,0,0.8,1.0,0.8,,,0.9466811569971576,0.8,80.0,False,127163.0,8.0,238.81618928909302,,,,,,,,
task19_jgd_w4pi,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,1.0,,,100.0,True,28164.0,5.0,47.5763258934021,,,,,,,,
task9_75_k8gxj,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,0.9921482217118738,0.8315217391304348,100.0,True,93508.0,7.0,98.8228919506073,,,,,,,,
task10_2v8msh3l,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,8,0,0,1.0,1.0,1.0,,,0.9740860281795047,0.7011981074481075,100.0,True,600550.0,13.0,421.2893087863922,,,,,,,,
task18_p6nnprnx,16111,14586,14586,0.9053441747874124,8,8,8,4,4,0,0,1.0,8,0,0,1.0,1.0,1.0,0.0,1.0,0.9724393253805019,0.9150326797385621,100.0,True,116337.0,6.0,130.5059199333191,,,,,,,,
task13_uxhv4xc9,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,4,6,0,0.4,1.0,0.4,,,0.7354478306746943,0.8535599208825753,40.0,False,211613.0,9.0,235.13833022117615,,,,,,,,
task6_fdh7g4ey,16111,13530,13530,0.8397988951647942,7,7,7,0,7,0,0,1.0,7,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,1161461.0,17.0,697.8695242404938,,,,,,,,
task4_y_gz2bi7,16111,11962,11962,0.7424740860281795,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,0.9991431198796188,0.96875,100.0,True,149839.0,9.0,241.8281888961792,,,,,,,,
task8_kprb7iet,16111,9408,9408,0.5839488548196884,4,4,4,0,4,0,0,1.0,0,4,0,0.0,1.0,0.0,,,0.4920546343537415,0.14479166666666665,0.0,False,382716.0,9.0,328.85676288604736,,,,,,,,
task1_sqfv5yyq,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9947241015455279,1.0,100.0,True,30150.0,4.0,53.306483030319214,,,,,,,,
task3_2c_pw0ii,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9986965427347775,0.625,100.0,True,73511.0,7.0,132.4594268798828,,,,,,,,
task12_umsbcgrt,16111,16111,16111,1.0,6,355,6,0,6,0,349,1.0,5,1,0,0.8333333333333334,1.0,0.8333333333333334,,,0.9112407671777047,0.8223720043572985,83.33333333333334,False,282101.0,11.0,233.20923113822937,,,,,,,,
AGGREGATE,322220,301107,301107,0.9344764446651356,102,451,100,8,92,2,351,0.9803921568627451,74,26,2,0.74,0.9803921568627451,0.7254901960784313,0.054785332900182955,0.9999999775582052,0.8929622185901229,0.7954287455838004,,,,,,75.45833333333333,10.0,4441798.0,222089.9,164.0,8.2,6319.32359790802,315.966179895401
